Material_ID,Author,Title,Type,Genre,Home_Branch_Location
1111,J. K. Rowling,Harry Potter and the Philosopher's Stone,Book ,Fantasy,Sterling
2222,J. K. Rowling,Harry Potter and the Chamber of Secrets,Book ,Fantasy,Centreville
3333,J. K. Rowling,Harry Potter and the Prizoner of Azkaban,Book ,Fantasy,Fairfax
4444,J. K. Rowling,Harry Potter and the Goblet of Fire,Book ,Fantasy,Ashburn
5555,J. K. Rowling,Harry Potter and the Order of the Phoenix,Book ,Fantasy,Great Falls
6666,J. K. Rowling,Harry Potter and the Half-Blood Prince,Book ,Fantasy,Landsdown
7777,J. K. Rowling,Harry Potter and the Deathly Hallows,Book ,Fantasy,Ashburn
8888,J. K. Rowling,Harry Potter and the Deathly Hallows,Book ,Fantasy,Great Falls
9999,J. K. Rowling,Harry Potter and the Deathly Hallows,Book ,Fantasy,Sterling
1000,Diana Gabaldon,Outlander,Book ,Historical Fiction,Sterling
2000,Diana Gabaldon,Dragonfly in Amber,Book ,Historical Fiction,Centreville
3000,Diana Gabaldon,Voyager,Book ,Historical Fiction,Fairfax
4000,Diana Gabaldon,Drums of Autumn,Book ,Historical Fiction,Ashburn
5000,Diana Gabaldon,The Fiery Cross,Book ,Historical Fiction,Great Falls
6000,Diana Gabaldon,A Breath of Snow and Ashes,Book ,Historical Fiction,Landsdown
7000,Diana Gabaldon,An Echo in the Bone,Book ,Historical Fiction,Ashburn
8000,Diana Gabaldon,Written in My Own Heart's Blood,Book ,Historical Fiction,Great Falls
9000,Disney,Raya and the Last Dragon,Movie,Children,Sterling
1100,20th Century Studios,Bohemian Rhapsody,Movie,Drama,Landsdown
